parada|pah-RAH-dah|Stop (e.g., bus stop)  
del|dehl|Of the / From the  
al|ahl|To the  
estamos|ehs-TAH-mohs|We are  
parque|PAHR-keh|Park  
cerca|SEHR-kah|Near  
viajar|byah-HAHR|To travel  
ir|eer|To go  
cerca de|SEHR-kah deh|Close to  
mis|mees|My (plural)  
pequeña|peh-KEH-nyah|Small (feminine)  
tus|toos|Your (plural, informal)  
sus|soos|His/Her/Their/Your (formal, plural)  
usan|OO-sahn|They use  
estos|EHS-tohs|These  
necesitamos|neh-seh-see-TAH-mohs|We need  
usamos|oo-SAH-mohs|We use  
nueves|NWEH-ves|Nine (plural form)  
cartera|kahr-TEH-rah|Wallet  
cuánto|KWAHN-toh|How much  
