一|yī|one
二|èr|two
三|sān|three
四|sì|four
五|wǔ|five
六|liù|six
七|qī|seven
八|bā|eight
九|jiǔ|nine
十|shí|ten
零|líng|zero
个|gè|general measure word
人|rén|person
们|men|plural marker
你|nǐ|you
我|wǒ|I, me
他|tā|he, him
她|tā|she, her
我们|wǒmen|we, us
你们|nǐmen|you (plural)
他们|tāmen|they, them
这|zhè|this
那|nà|that
哪|nǎ|which, where
谁|shuí/shéi|who
什么|shénme|what
几|jǐ|how many, some
怎么|zěnme|how
怎么样|zěnmeyàng|how is it? How about?
是|shì|to be
不|bù|not
很|hěn|very
太|tài|too, excessively
都|dōu|all, both
也|yě|also, too
吗|ma|question particle
呢|ne|question particle
吧|ba|suggestion particle
的|de|possessive particle
了|le|completed action particle
着|zhe|continuous action marker
在|zài|at, in, on
有|yǒu|to have
没|méi|not have
和|hé|and
跟|gēn|with
从|cóng|from
给|gěi|to give
为|wèi|for
到|dào|to arrive, to reach
里|lǐ|inside
外|wài|outside
上|shàng|up, on, above
下|xià|down, under, below
前|qián|front
后|hòu|back
左|zuǒ|left
右|yòu|right
大|dà|big
小|xiǎo|small
多|duō|many, much
少|shǎo|few, little
高|gāo|tall, high
矮|ǎi|short
长|cháng|long
短|duǎn|short
快|kuài|fast
慢|màn|slow
好|hǎo|good
坏|huài|bad
冷|lěng|cold
热|rè|hot
高兴|gāoxìng|happy
累|lèi|tired
饿|è|hungry
忙|máng|busy
漂亮|piàoliang|beautiful
可爱|kě'ài|cute
远|yuǎn|far
近|jìn|near
贵|guì|expensive
便宜|piányi|cheap
新|xīn|new
旧|jiù|old
白|bái|white
黑|hēi|black
红|hóng|red
黄|huáng|yellow
蓝|lán|blue
绿|lǜ|green
早上|zǎoshang|morning
上午|shàngwǔ|morning
中午|zhōngwǔ|noon
下午|xiàwǔ|afternoon
晚上|wǎnshang|evening, night
今天|jīntiān|today
明天|míngtiān|tomorrow
昨天|zuótiān|yesterday
年|nián|year
月|yuè|month
日|rì|day, sun
星期|xīngqī|week
点|diǎn|o'clock
分|fēn|minute
现在|xiànzài|now
时候|shíhou|time
岁|suì|years old
家|jiā|family, home
爸爸|bàba|dad
妈妈|māma|mom
哥哥|gēge|older brother
姐姐|jiějie|older sister
弟弟|dìdi|younger brother
妹妹|mèimei|younger sister
儿子|érzi|son
女儿|nǚ'ér|daughter
老师|lǎoshī|teacher
学生|xuésheng|student
朋友|péngyou|friend
医生|yīshēng|doctor
工作|gōngzuò|work, job
饭店|fàndiàn|hotel, restaurant
商店|shāngdiàn|shop, store
学校|xuéxiào|school
医院|yīyuàn|hospital
中国|Zhōngguó|China
北京|Běijīng|Beijing
书|shū|book
笔|bǐ|pen
纸|zhǐ|paper
桌子|zhuōzi|table
椅子|yǐzi|chair
门|mén|door
手机|shǒujī|cellphone
电脑|diànnǎo|computer
电视|diànshì|television
钱|qián|money
东西|dōngxi|thing, stuff
