January|Enero
February|Febrero
March|Marzo
April|Abril
May|Mayo
June|Junio
July|Julio
August|Agosto
September|Septiembre
October|Octubre
November|Noviembre
December|Diciembre
Enero|January
Febrero|February
Marzo|March
Abril|April
Mayo|May
Junio|June
Julio|July
Agosto|August
Septiembre|September
Octubre|October
Noviembre|November
Diciembre|December
eh-NEH-ro|January
feh-BREH-ro|February
MAR-so|March
ah-BREEL|April
MAH-yo|May
HOO-nee-oh|June
HOO-lee-oh|July
ah-GO-sto|August
sep-TYEHM-breh|September
ock-TOO-breh|October
no-VYEHM-breh|November
dee-SYEHM-breh|December
