mortification | noun | mawr-tuh-fi-kay-shuhn | Her mortification, or extreme embarrassment, was evident when she tripped on stage. | He felt mortification after forgetting the words to his speech. | Unlike mild discomfort, mortification refers to a deep sense of shame. | Examples of mortification include public mistakes or being caught in a lie. | You could infer his mortification from his flushed cheeks and hurried exit.
visage | noun | viz-ij | The artist captured her serene visage, or face, in the portrait. | His visage, marked by deep wrinkles, told a story of hardship. | Unlike abstract descriptions, a visage specifically refers to facial features. | Examples of visages include smiling faces in photographs or serious expressions in sculptures. | You could infer his thoughts from the intensity of his visage.
levy | noun/verb | leh-vee | The government imposed a levy, or tax, on imported goods. | To levy funds, or collect taxes, they increased tariffs on luxury items. | Unlike optional payments, a levy is legally enforced. | Examples of levies include property taxes or wartime resource contributions. | You could infer a levy was being imposed from the official notification to all citizens.
pas | noun | pah | The ballerina performed a graceful pas, or dance step, to perfection. | His pas, or misstep in etiquette, caused awkwardness at the formal dinner. | Unlike group movements, a pas often refers to an individual step or action. | Examples of pas include specific ballet moves like pas de deux or social mistakes. | You could infer she was discussing dance from her focus on perfecting the pas.
genus | noun | jee-nuhs | The tiger belongs to the genus Panthera, a classification of large cats. | A genus, or group of species with common traits, is an important category in biology. | Unlike a single species, a genus includes multiple related species. | Examples of genera include Homo for humans and Canis for dogs and wolves. | You could infer the species' relationship from its shared genus classification.
lemur | noun | lee-muhr | The lemur, a primate native to Madagascar, is known for its large, bright eyes. | Lemurs, or tree-dwelling animals, are famous for their playful behavior. | Unlike monkeys, lemurs are smaller and have long tails suited for balance. | Examples of lemurs include ring-tailed lemurs and sifakas. | You could infer it was a lemur from its leaping movements and unique vocalizations.
emblematize | verb | em-bluh-muh-tahyz | The olive branch emblematizes, or symbolizes, peace across many cultures. | To emblematize courage, the lion was chosen as the family crest. | Unlike literal representations, to emblematize means to serve as a symbolic figure. | Examples of emblematizing include flags representing nations or doves symbolizing hope. | You could infer the emblematic nature from the universally recognized symbolism.
revel | verb | rev-uhl | They stayed up late to revel, or celebrate joyfully, after the big win. | He reveled in the success of his hard work, savoring every moment. | Unlike quiet reflection, reveling involves energetic celebration and happiness. | Examples of reveling include dancing at a party or cheering at a victory parade. | You could infer they were reveling from the loud music and cheerful laughter.
disorientation | noun | dis-awr-ee-en-tay-shuhn | After spinning in circles, he experienced disorientation, or confusion about direction. | Her disorientation, caused by jet lag, made it hard to adjust to the new time zone. | Unlike clarity, disorientation involves feeling lost or out of balance. | Examples of disorientation include losing one’s way in a maze or dizziness after a ride. | You could infer her disorientation from her hesitant steps and furrowed brow.
pizzazz | noun | piz-az | The performance had pizzazz, or flair, with its colorful costumes and dynamic music. | Her outfit added pizzazz to the otherwise dull event. | Unlike ordinary presentations, pizzazz makes something stand out vividly. | Examples of pizzazz include sparkling decorations or charismatic performances. | You could infer the show had pizzazz from the audience’s excited reactions and applause.
momentary | adjective | moh-muhn-tehr-ee | There was a momentary, or brief, pause before the thunderclap followed the lightning. | His momentary hesitation cost him the winning point in the game. | Unlike prolonged events, momentary ones pass quickly and are short-lived. | Examples of momentary actions include blinking, a flash of light, or a sudden smile. | You could infer the event was momentary from its swift occurrence and immediate resolution.
