melancholia | noun | meh-luhn-koh-lee-uh | Melancholia, a deep, persistent sadness, often left her staring out the window for hours. | Her melancholia, or extreme depression, made it hard for her to find joy in anything. | Unlike her usual cheerful self, she was overcome by melancholia after hearing the news. | The melancholia of the rainy day, with its gray skies and endless drizzle, matched her mood. | As tears welled in her eyes and her shoulders drooped, her melancholia was obvious to everyone in the room.
accost | verb | uh-kost | He was accosted—approached aggressively—by a man demanding money on the street. | She feared walking alone after being accosted by a stranger asking intrusive questions. | Unlike her friendly neighbors, he rudely accosted passersby with demands. | An example of being accosted is someone grabbing your arm to ask for directions. | You could infer he was accosted when he hurried away, clearly shaken.
subpar | adjective | suhb-pahr | The performance was subpar—well below the usual standard of excellence. | Her essay was subpar, or mediocre, compared to her earlier works. | Unlike his usual top-notch work, this project felt subpar and incomplete. | Subpar efforts, like a hastily written paper or missed deadlines, don't reflect well. | You could infer the quality was subpar from the lack of applause.
legalism | noun | lee-guh-lih-zuhm | Legalism, strict adherence to the law, often leads to rigidity in decisions. | His focus on legalism, or an obsession with rules, made him seem inflexible. | Unlike her lenient approach, his legalism left no room for exceptions. | Legalism can be seen in situations like refusing to bend a rule, even in emergencies. | You could infer his legalism from his insistence on rules, no matter the circumstance.
titillating | adjective | tiht-uh-lay-ting | The titillating story excited the audience with its scandalous details. | Her description of the titillating, or provocative, scene captivated the readers. | Unlike the dull narrative, the titillating parts kept readers turning the pages. | Examples of titillating content include gossip columns and celebrity scandals. | You could infer the story was titillating from the audience's gasps and laughter.
estrange | verb | ih-streynj | The argument served to estrange, or alienate, the two best friends. | His decision to estrange himself from the family left everyone hurt and confused. | Unlike their former closeness, the brothers had become estranged over the years. | Examples of estrangement include refusing to attend family gatherings or cutting ties. | You could infer they were estranged from their lack of communication and distance.
abridge | verb | uh-brij | The editor decided to abridge the novel, cutting down unnecessary parts. | To abridge, or shorten, the speech, he removed several anecdotes. | Unlike the full-length version, the abridged one omitted the background details. | An abridged version of a book might include only the main story without side plots. | You could infer the story was abridged by its unusually short length.
acerbic | adjective | uh-sur-bik | Her acerbic tone, sharp and biting, made it hard to take her criticism lightly. | The acerbic, or harsh, comments hurt his feelings deeply. | Unlike her usual gentle words, her acerbic remarks took everyone by surprise. | Examples of acerbic language include sarcastic jokes or cutting retorts. | You could infer her acerbic nature from the way she criticized everything harshly.
chaff | noun | chaf | The farmer separated the wheat from the chaff, removing the useless parts. | Chaff, or waste material, often clutters up valuable resources. | Unlike the useful grain, the chaff was discarded as worthless. | Examples of chaff include dry husks of corn or irrelevant details in a report. | You could infer it was chaff from how carelessly it was thrown away.
sate | verb | sayt | She tried to sate, or satisfy, her hunger with a large bowl of pasta. | To sate his curiosity, he spent hours researching the topic. | Unlike his usual insatiable appetite, the meal managed to sate him completely. | Examples of sating include eating a full meal or solving a mystery that intrigues you. | You could infer he was sated by the relaxed smile on his face.
clime | noun | klahym | People often travel to warmer climes, or regions, during the winter months. | A clime, or geographic area, often determines the type of vegetation that grows. | Unlike the cold and barren climes of the Arctic, the tropics are lush and warm. | Examples of climes include deserts, rainforests, and polar regions. | You could infer the clime was tropical from the humidity and vibrant green foliage.
