o|or
pagar|topay
ensalada|salad
quiero|want
cuenta|check
veso|glass
jugo|juice
sin|absent, without
azucar|sugar
carne|meat
pescado|fish
de|with, made of, off
con|with
para|for
cerrado|closed
banco|bank
bano|bathroom
museo|museums
tu|your
tren|train
boleto|ticket
a|to, with, away
dinero|money
tengo|I've got, is there, I'm having
esta|it is
aqui|here
en|in
maleta|suitcase
mi|my
hablo|I am talking, speak, talking
hables|do you speak, speak, talking
de nada|you are welcome
perdon|sorry, excuse me
lo siento|sorry, I am sorry
adios|goodbye
mucho gusto|nice to meet you
buenos dias|good morning
gracias|thank you
buenas noches|good night
bebes|do you drink, you drink
como|I eat, I am eating
es|is
eres|you are, aren'y you, ?are you
