Monday Lunes
Tuesday Martes
Wednesday Miercoles
Thursday Jueves
Friday Viernes
Saturday Sabado
Sunday Domingo
1 uno
2 dos
3 tres
4 cuatro
5 cinco
6 seis
7 siete
8 ocho
9 nueve
10 diez
clase class
facil easy
maestro teacher
examen exam
libro book
escuela school
boligrafo pen
comoda comfortable
cartera purse
abrigo coat
caro expensive
barato cheap
rojo red
este this
ese that
comprar buy
sombrero hat
gris gray
camiseta t-shirt
vestido dress
marron brown
camisa shirtropa clothes
tienda store
chaqueta jacket
azul blue
verde green
con with
pescado fish
queso cheese
carne meat
azucar sugar
sin without
jugo juice
vaso glass
cafe coffee
naranja orange
taza cup
sal salt
cuenta check
quiero want
pagar to-pay
carro car
grande big
hermana sister
gato cat
muy very
bonito pretty
hermano brother
perro dog
esposa wife
exposo husband
hija daughter
hijo son
y and
feliz happy
